"data_year","state_name","total_agencies","participation_agencies","participating_agencies_pct","nibrs_participating_agencies","nibrs_participating_agencies","covered_agencies","covered_pct","total_population","nibrs_population"
2001,Alabama,488,266,0.55,0,0,0,0,4502059,0
2001,Alaska,51,33,0.65,0,0,0,0,634892,0
2001,American Samoa,1,0,0,0,0,0,0,0,0
2001,Arizona,151,100,0.66,1,0.01,0,0,5323460,32910
2001,Arkansas,347,196,0.56,5,0.03,0,0,2752264,381356
2001,California,895,724,0.81,0,0,0,0,34608064,0
2001,Canal Zone,0,0,0,0,0,0,0,0,0
2001,Colorado,304,193,0.63,136,0.70,0,0,4449380,2405078
2001,Connecticut,128,100,0.78,53,0.53,0,0,3505041,1785765
2001,Delaware,82,54,0.66,54,1.00,0,0,818643,795507
2001,District of Columbia,3,2,0.67,1,0.50,0,0,571822,0
2001,Florida,836,582,0.70,0,0,0,0,16465493,0
2001,Georgia,815,549,0.67,0,0,3,0.01,8403421,0
2001,Guam,3,0,0,0,0,0,0,0,0
2001,Hawaii,15,4,0.27,0,0,0,0,1328623,0
2001,Idaho,150,115,0.77,115,1.00,0,0,1358864,1305535
2001,Illinois,1083,7,0.01,1,0.14,0,0,12558378,150877
2001,Indiana,448,273,0.61,0,0,0,0,6130368,0
2001,Iowa,297,219,0.74,219,1.00,0,0,2944852,2861030
2001,Kansas,473,335,0.71,334,1.00,0,0,2717796,2296266
2001,Kentucky,722,24,0.03,14,0.58,2,0.08,4101396,453265
2001,Louisiana,313,194,0.62,0,0,0,0,4518855,0
2001,Maine,242,180,0.74,0,0,0,0,1322818,0
2001,Mariana Islands,1,0,0,0,0,0,0,0,0
2001,Maryland,216,148,0.69,0,0,0,0,5530549,0
2001,Massachusetts,502,334,0.67,204,0.61,0,0,6395204,3389451
2001,Michigan,859,624,0.73,608,0.97,0,0,10287311,8301563
2001,Minnesota,495,299,0.60,3,0.01,0,0,5038797,465565
2001,Mississippi,273,128,0.47,0,0,0,0,2858136,0
2001,Missouri,727,306,0.42,0,0,0,0,5701710,0
2001,Montana,143,55,0.38,0,0,0,0,976899,0
2001,Nebraska,337,243,0.72,26,0.11,0,0,1778173,342220
2001,Nevada,78,35,0.45,0,0,0,0,2112936,0
2001,New Hampshire,264,109,0.41,25,0.23,0,0,1325114,293328
